48703	101167
48703	102691
48703	103484
48703	103492
48703	103589
48703	103671
48703	104749
48703	105049
48703	105083
48703	107877
48703	110711
48703	114352
48703	115209
48703	115480
48703	115510
48703	115900
48703	116947
48703	118341
48703	118942
48703	119253
48703	119515
48703	120774
48703	122787
48703	125954
48703	126916
48703	128150
48703	130288
48703	130401
48703	130519
48703	130853
48703	131221
48703	131391
97698	3803
97698	14465
97698	72494
97698	72570
97698	87168
97698	96464
97698	106740
97698	113905
72494	97698
72494	106740
94926	15122
94926	43856
94926	59489
94926	70143
94926	74951
94926	82749
94926	103018
94926	106223
94926	114807
94926	114808
94926	120166
94926	122536
118116	2444
118116	14309
118116	28138
118116	47796
118116	49974
118116	61974
118116	63430
118116	80945
118116	81974
118116	86824
118116	99452
118116	101813
118116	105441
118116	109103
118116	114265
118116	125512
118116	126990
32457	6831
32457	10057
32457	14302
32457	14646
32457	17541
32457	17764
32457	18876
32457	19674
32457	20847
32457	23459
32457	26326
32457	26459
32457	28128
32457	34387
32457	35290
32457	38155
32457	39577
32457	42749
32457	42793
32457	44943
32457	51847
32457	57295
32457	57331
32457	59326
32457	59547
32457	59801
32457	62219
32457	63470
32457	63552
32457	68363
32457	74702
32457	76963
32457	79570
32457	83303
32457	88903
32457	92914
32457	95036
32457	103407
32457	105314
32457	106934
32457	108409
32457	111396
32457	111887
32457	114464
32457	114715
32457	115672
32457	116846
32457	117441
32457	118103
32457	120989
32457	121444
32457	128297
32457	128685
32457	132663
29356	811
29356	25543
29356	32840
29356	44934
29356	45227
29356	66336
29356	71163
29356	88184
29356	108906
25543	811
25543	8057
25543	11705
25543	21737
25543	28331
25543	29356
25543	32840
25543	44934
25543	45227
25543	66336
25543	71163
25543	88184
25543	90800
25543	108906
45227	811
45227	6835
45227	25543
45227	26713
45227	29356
45227	32840
45227	36361
45227	44934
45227	45121
45227	46179
45227	51587
45227	53890
45227	62346
45227	63570
45227	66336
45227	68725
45227	71163
45227	71164
45227	88184
45227	93220
45227	98926
45227	99882
45227	108906
45227	116284
45227	124546
45227	126043
45227	129726
121444	1713
121444	6506
121444	9217
121444	13557
121444	13596
121444	14186
121444	18904
121444	19949
